productId,productName,brand,metaTagDescription,description,categories,linkText,link,filtered_categories
8745,Fone de Ouvido Sony Sem Fio Preto - WH1000XM4BMUC,Sony,"Mergulhe no som ao seu redor, tão real quanto estar em um concerto ao vivo ou junto com o artista no estúdio,",O fone de ouvido Sony traz o novo processador HDQN1 foi reconfigurado e ficou muito mais rápido. conseguindo analisar até 700x por segundo a informação que recebe. e assim cancelar o ruído de maneira muito mais rápida e eficaz. Além disso. possui o sistema SoC (System on Chip) no Bluetooth que auxilia na agilidade do processamento de dados e qualidade de áudio. Usando o Edge-AI (inteligência artificial). o DSEE Extreme™ aprimora os arquivos de música digital compactados em tempo real. Ele restaura o som de alto alcance perdido na compactação. reconhecendo dinamicamente instrumentos. gêneros musicais e elementos individuais das músicas. como vocais ou interlúdios. para uma experiência de audição mais rica e completa. O LDAC transmite cerca de três vezes mais dados (a uma taxa de transferência máxima de 990 Kbps) que o áudio BLUETOOTH convencional. permitindo que você curta conteúdo de Áudio de alta resolução com qualidade. o mais próximo possível de uma conexão com fio dedicada. Quando estiver se deslocando. ajuste o som ambiente com o aplicativo Sony | Headphones Connect para cancelar os ruídos e poder ouvir os sons essenciais. como anúncios de transporte por exemplo. Os headphones usam diversas tecnologias avançadas para criar uma experiência de audição em estilo mãos-livre. Por exemplo. basta começar a falar para pausar automaticamente a música. no modo Falar para bater papo. ou desfrutar da reprodução adaptável. graças ao sensor de proximidade a dois sensores de aceleração que detectam se os headphones estão sendo usados ou não. O Adaptive Sound Control é uma função inteligente que detecta onde você está e o que está fazendo. e então. ajusta as configurações de som ambiente para proporcionar a melhor experiência de audição. O sensor de proximidade e os dois sensores de aceleração nos headphones podem detectar se eles estão sendo usados ou não. e então. adaptar a reprodução para ajudar a economizar a alimentação da bateria. Precisa ouvir rapidamente vozes ou sons ao seu redor? Basta colocar a mão sobre a concha para diminuir instantaneamente o volume da música e liberar o som ambiente. Com bateria de 30 horas de duração. você terá carga suficiente mesmo em viagens longas. E caso necessite de uma carga rápida. pode ter até 5 horas de carga com apenas 10 minutos com o adaptador CA opcional. Gerencie seu dia. apenas pedindo para seu assistente. Aproveite o entretenimento. conecte-se com amigos. informe-se. ouça músicas e notificações. defina lembretes e muito mais com o assistente de voz. Mude a música. aumente ou diminua o volume e faça ou atenda chamadas apenas tocando ou deslizando o painel. Mergulhe no som ao seu redor. tão real quanto estar em um concerto ao vivo ou junto com o artista no estúdio. Estes headphones permitem que você curta o 360 Reality Áudio.Imagens meramente ilustrativas.,"['/Sony/Fone de Ouvido Bluetooth/', '/Sony/', '/Multilaser/Telas, Áudio e Video/Áudio/Fones de Ouvido/', '/Multilaser/Telas, Áudio e Video/Áudio/', '/Multilaser/Telas, Áudio e Video/', '/Multilaser/', '/Sony/Noise Cancelling/']",fone-de-ouvido-sem-fio-sony-preto-wh1000xm4bmuc,https://multilaser.vtexcommercestable.com.br/fone-de-ouvido-sem-fio-sony-preto-wh1000xm4bmuc/p,"['AUDIO', 'FONES DE OUVIDO', 'FONE DE OUVIDO BLUETOOTH', 'MULTILASER', 'SONY', 'TELAS, AUDIO E VIDEO', 'NOISE CANCELLING']"
8533,Som Automotivo Evolve BT 4x35W RMS 12V Multilaser - P3348,Multilaser,"Evolve BT Multilaser, um novo conceito em som automotivo.","Evolve BT Multilaser, um novo conceito em som automotivo. Muito mais tecnologia, entretenimento e qualidade de som para você e seu carro. O Evolvet BT possui diversas funções como: . Reprodução de dados. Função carregador. Possui 2 saídas RCA. Controle remoto. Potência de 4x35W. Amplificador de áudio dedicado. Rádio FM. Relógio digital. Equalização . Função troca pastaO Evolve BT da Multilaser é um som automotivo que possui tudo o que você procura.Imagens meramente ilustrativas.","['/Multilaser/Automotivo/Som Automotivo/Rádio para Carro/', '/Multilaser/Automotivo/Som Automotivo/', '/Multilaser/Automotivo/', '/Multilaser/']",som-automotivo-evolve-bt-4x35w-rms-12v-multilaser-p3348,https://multilaser.vtexcommercestable.com.br/som-automotivo-evolve-bt-4x35w-rms-12v-multilaser-p3348/p,"['MULTILASER', 'AUTOMOTIVO', 'RADIO PARA CARRO', 'SOM AUTOMOTIVO']"
8476,Tapete Higiênico One Pads 30 unidades 70x60cm One - 111,Blue,"Os tapetes higiênicos One Pads ajudam a manter a sua casa limpa e aconchegante por mais tempo, sem vazamentos ou odores desagradáveis.","O seu cão feliz e sua casa mais limpa O tapete higiênico para cães One Pads Multi 70x60 cm ajuda a cuidar do seu pet com amor, proporcionando um espaço adequado, confortável e limpo para que ele faça suas necessidades. Com uma estampa decorativa na lateral, acrescenta estilo e se adapta perfeitamente a qualquer ambiente.Camadas de proteção absorventeO tapete higiênico para cães One Pads Multi 70x60 cm possui 5 camadas de proteção absorvente. A tripla camada de gel absorvente de secagem ultrarrápida garante que não haja vazamentos para o chão, neutralizando o mau cheiro e a proliferação de bactérias. Atrativo canino natural O seu atrativo interno, que incentiva o cão a utilizar o tapete higiênico corretamente, proporciona maior conforto e ajuda no adestramento.Área de absorção maiorO tapete higiênico para cães One Pads Multi 70x60 cm ainda oferece uma ampla área de absorção, o que é ideal para cães de diferentes tamanhos e raças, pois o pet terá mais espaço para usar. E o melhor: o xixi desaparece rapidamente, mantendo a higiene do ambiente.Adesivos de alta fixação com laterais vedantes Os adesivos antibagunça asseguram que o tapete higiênico fixe no chão, evitando que se mova, além de serem fáceis de descolar. Proteja o piso com as laterais do tapete higiênico para cães One Pads Multi 70x60 cm que apresentam vedação completa*Imagens Meramente Ilustrativas*","['/Mimo/Cachorros/Higiene/Tapete Higiênico/', '/Mimo/Cachorros/Higiene/', '/Mimo/Cachorros/', '/Mimo/', '/Multilaser/Pet Shop/Cachorros/Higiene/Tapete Higiênico/', '/Multilaser/Pet Shop/Cachorros/Higiene/', '/Multilaser/Pet Shop/Cachorros/', '/Multilaser/Pet Shop/', '/Multilaser/', '/Mimo/Blue/Tapete Higiênico/', '/Mimo/Blue/']",tapete-higienico-one-pads-30-unidades-70x60cm-one-111,https://multilaser.vtexcommercestable.com.br/tapete-higienico-one-pads-30-unidades-70x60cm-one-111/p,"['HIGIENE', 'BLUE', 'CACHORROS', 'MULTILASER', 'MIMO', 'TAPETE HIGIENICO', 'PET SHOP']"
8424,Mochila Executive Para Notebook até 15.6 Pol Preta Multilaser - BO440,Multilaser,"Conforto, praticidade e design onde você for!","A Mochila Executive te oferece conforto, praticidade e design onde você for!Feita em poliéster resistente, possui zíperes reforçados e dois amplos compartimentos, essa mochila está preparada para suportar notebooks de até 15,6” com seu suporte acolchoado.Imagens meramente ilustrativas.","['/Multilaser/Informática e Tablets/Informática e Acessórios/Bolsas, Mochilas, cases e Pastas/', '/Multilaser/Informática e Tablets/Informática e Acessórios/', '/Multilaser/Informática e Tablets/', '/Multilaser/']",mochila-executiva-para-notebook-at-156-pol-preta-multilaser-bo440,https://multilaser.vtexcommercestable.com.br/mochila-executiva-para-notebook-at-156-pol-preta-multilaser-bo440/p,"['MULTILASER', 'INFORMATICA E TABLETS', 'BOLSAS, MOCHILAS, CASES E PASTAS', 'INFORMATICA E ACESSORIOS']"
8276,Fone de Ouvido Pop Bluetooth P2 Preto Multilaser - PH246OUT [Reembalado],Multilaser,"Os Melhores Fones de Ouvido Aqui! Adquira o Fone de Ouvido Pop Bluetooth P2 Preto Multilaser PH246OUT em até 12x Sem Juros, Cashback e Frete Grátis. Confira!",Smartphones. tablets e outros dispositivos.Haste acolchoada e ajustável proporcionando conforto estendido garantindo ergonomia no uso.Earpads extra macios para melhor conforto e melhor acústica.Porta micro USB. entrada auxiliar. controle de volume embutido. microfone e hands-free.*Imagens Meramente Ilustrativas*Atenção: informações importantes:O que são produtos reembalados?São produtos originais de fábrica. que podem conter algum tipo de avaria. Essas avarias são apenas de aparência. que não afetam a funcionalidade e uso.Produto Reembalado com garantia de 90 dias para vícios ocultos. Não cobrimos eventuais danos estéticos.,"['/Multilaser/Smartphones e Celulares/Acessórios/Fones de Ouvido/', '/Multilaser/Smartphones e Celulares/Acessórios/', '/Multilaser/Smartphones e Celulares/', '/Multilaser/']",fone-de-ouvido-pop-bluetooth-p2-preto-multilaser-ph246out-reembalado,https://multilaser.vtexcommercestable.com.br/fone-de-ouvido-pop-bluetooth-p2-preto-multilaser-ph246out-reembalado/p,"['MULTILASER', 'SMARTPHONES E CELULARES', 'ACESSORIOS', 'FONES DE OUVIDO']"
8186,Balança Digital Eat Smart Multilaser Saúde - HC039OUT [Reembalado],Multilaser,Com a Balança Digital Eat Smart da linha Multilaser Saúde fica fácil manter um peso saudável!,"Com a Balança Digital Eat Smart da linha Multilaser Saúde fica fácil manter um peso saudável!Possui design slim para facilitar e proporcionar conforto durante a utilização, é ideal para te auxiliar no controle de peso diário pois possui alta precisão.Com desligamento automático e acionamento por toque;Pés em borracha antiderrapante;Visor LCD. Imagens meramente ilustrativas.   Atenção: informações importantes O que são produtos reembalados?São produtos originais de fábrica que podem conter algum tipo de avaria. Estas avarias são apenas de aparência. que não afetam a funcionalidade e uso.Produto Reembalado com garantia de 90 dias para vícios ocultos. Não cobrimos eventuais danos estéticos.  ","['/Multilaser/Saúde e Bem Estar/Controle do Peso/Balanças Digitais/', '/Multilaser/Saúde e Bem Estar/Controle do Peso/', '/Multilaser/Saúde e Bem Estar/', '/Multilaser/']",balanca-digital-eat-smart-multilaser-saude-hc039out,https://multilaser.vtexcommercestable.com.br/balanca-digital-eat-smart-multilaser-saude-hc039out/p,"['MULTILASER', 'CONTROLE DO PESO', 'SAUDE E BEM ESTAR', 'BALANCAS DIGITAIS']"
7966,Tablet Multi M8 Wi-fi com Google Kids Space 32GB Tela 8 pol. 2GB RAM + Wi-fi Android 11 (Go edition) Processador Quad Core - Preto - NB358,Multilaser,"Tablet Multilaser M8 WIFI, é perfeito para o dia a dia!","Tablet Multilaser M8 WIFI, é perfeito para o dia a dia!Com design moderno e eficiente, conta com o super processador Quad Core, você pode jogar, ver vídeos, navegar na internet e muito mais, tudo isso ao mesmo tempo e sem travamentos ou lentidão, tudo isso acompanhado do sistema operacional Android 11 GO Edition que permite turbinar seu tablet com milhares de aplicativos no Google Play.Com o modo Kids Space, o visual se adapta às telas maiores. O modo também sugere atividades, livros, vídeos e pode ser personalizado a partir dos gostos da criança — animais, ciência, história, música e muito mais!Imagens meramente ilustrativas.","['/Multilaser/Informática e Tablets/Tablets/Tablets/', '/Multilaser/Informática e Tablets/Tablets/', '/Multilaser/Informática e Tablets/', '/Multilaser/']",tablet-multilaser-m8-wifi-32gb-tela-8-pol-2gb-ram-wifi-dual-band-com-google-kids-space-android-11-go-edition-preto-nb358,https://multilaser.vtexcommercestable.com.br/tablet-multilaser-m8-wifi-32gb-tela-8-pol-2gb-ram-wifi-dual-band-com-google-kids-space-android-11-go-edition-preto-nb358/p,"['MULTILASER', 'TABLETS', 'INFORMATICA E TABLETS']"
7921,Balança Digital Recarregável USB - Multilaser Saúde - HC411,Multilaser,Com a Balança Digital DigiHealth USB da linha Multilaser Saúde fica fácil manter um peso saudável!,"Com a Balança Digital Health USB da linha Multilaser Saúde fica fácil manter um peso saudável!Possui design slim para facilitar e proporcionar conforto durante a utilização, e possui alta precisão para te auxiliar no controle de peso diário. Com desligamento automático; Recarregável via cabo USB;Acionamento por toque;Pés em material antiderrapante;Base em vidro temperado.Imagens meramente ilustrativas.","['/Multilaser/Saúde e Bem Estar/Controle do Peso/Balanças Digitais/', '/Multilaser/Saúde e Bem Estar/Controle do Peso/', '/Multilaser/Saúde e Bem Estar/', '/Multilaser/']",balanca-digital-recarregavel-usb-multilaser-saude-hc411,https://multilaser.vtexcommercestable.com.br/balanca-digital-recarregavel-usb-multilaser-saude-hc411/p,"['MULTILASER', 'CONTROLE DO PESO', 'SAUDE E BEM ESTAR', 'BALANCAS DIGITAIS']"
7882,Caixa com 50 Máscaras Cirúrgicas 3 Camadas Branco Multilaser Saúde - HC366,Multilaser Saúde,"A Máscara de Proteção da linha Multilaser Saúde foi desenvolvida para minimizar a contaminação por bactérias, vírus e secreções respiratórias.","A Máscara de Proteção da linha Multilaser Saúde foi desenvolvida para minimizar a contaminação por bactérias, vírus e secreções respiratórias.Tripla proteção com filtro;Tamanho único e ajustável;Clipagem nasal (metálico) ajuste perfeito. Chega de óculos embaçados;Polipropileno: atóxico e hipoalérgico que não causa irritações no rosto;Uso único e descartável, não estéril;Registro ANVISA e normas técnicas de acordo com a NBR 15052Índices: EFP =98% | BFE =95%;Imagens meramente Ilustrativas.","['/Multilaser/Médico-Hospitalar/Máscaras de Proteção/Máscara Adulta/', '/Multilaser/Médico-Hospitalar/Máscaras de Proteção/', '/Multilaser/Médico-Hospitalar/', '/Multilaser/', '/Multilaser/Saúde e Bem Estar/Máscaras de Proteção/Máscara Adulta/', '/Multilaser/Saúde e Bem Estar/Máscaras de Proteção/', '/Multilaser/Saúde e Bem Estar/']",caixa-com-50-mascaras-cirurgicas-3-camadas-branco-multilaser-saude-hc366,https://multilaser.vtexcommercestable.com.br/caixa-com-50-mascaras-cirurgicas-3-camadas-branco-multilaser-saude-hc366/p,"['MEDICO-HOSPITALAR', 'MULTILASER', 'SAUDE E BEM ESTAR', 'MASCARA ADULTA', 'MASCARAS DE PROTECAO']"
7880,Óleo Essencial de Bergamota 10 ml Multi Saúde - HC410,Multilaser Saúde,Sinta a natureza pertinho de você com os Óleos Essenciais Multi Saúde!,"Sinta a natureza pertinho de você!Óleo extraído da folha, através da destilação a vapor.100% puro e natural.Para usar na aromaterapia, no banho, massagem e no skin care misturado com hidratantes e séruns.Na aromaterapia:Auxilia no combate à insônia, ansiedade e nervosismo.Traz sensação de conforto e segurança.Para pele e cabelos:Reduz manchas na pele.Auxilia na diminuição da retenção de líquidos, celulite, estrias e flacidez.Como usar o óleo essencial de Bergamota?PARA MASSAGEM: Misture algumas gotas com o seu óleo de massagem preferido, como o de côco, jojoba e Argan.PARA AROMATERAPIA: Pingue de 2 a 3 gotas de óleo essencial no local indicado do seu difusor de aromas ou umidificador.PARA O BANHO: Pingue algumas gotas do óleo na sua banheira cheia de águaPARA A PELE: Adicione uma gota do óleo nos produtos preferidos da sua rotina de skin care.AVISO: Uso externo, proibido ingerir. Evite contato direto com os olhos, caso ocorra lave com água em abundância. Não aplique o produto diretamente na pele e sim misturado com outros cremes, hidratantes e séruns.Imagens meramente ilustrativas","['/Multilaser/Saúde e Bem Estar/Aromaterapia/Óleos Essenciais/', '/Multilaser/Saúde e Bem Estar/Aromaterapia/', '/Multilaser/Saúde e Bem Estar/', '/Multilaser/']",oleo-essencial-de-bergamota-multi-saude-hc410,https://multilaser.vtexcommercestable.com.br/oleo-essencial-de-bergamota-multi-saude-hc410/p,"['MULTILASER', 'OLEOS ESSENCIAIS', 'SAUDE E BEM ESTAR', 'AROMATERAPIA']"
